latitude,longitude,time,co,t
62.25,286.5,2018-05-01,1.1519797e-07,259.46863
62.25,287.25,2018-05-01,1.1521707e-07,260.24988
62.25,288.0,2018-05-01,1.1542898e-07,261.35925
62.25,288.75,2018-05-01,1.1556313e-07,262.14246
62.25,289.5,2018-05-01,1.1579869e-07,262.17957
62.25,290.25,2018-05-01,1.16115196e-07,261.68152
62.25,291.0,2018-05-01,1.16438976e-07,261.25574
62.25,291.75,2018-05-01,1.1702151e-07,261.35144
62.25,292.5,2018-05-01,1.1747398e-07,262.01746
62.25,293.25,2018-05-01,1.17799125e-07,262.9901
62.25,294.0,2018-05-01,1.18032865e-07,263.95496
62.25,294.75,2018-05-01,1.1789326e-07,264.72644
62.25,295.5,2018-05-01,1.1739713e-07,265.32996
62.25,296.25,2018-05-01,1.16478994e-07,265.89832
62.25,297.0,2018-05-01,1.1509247e-07,266.49792
62.25,297.75,2018-05-01,1.1361636e-07,267.0702
62.25,298.5,2018-05-01,1.11978814e-07,267.54675
62.25,299.25,2018-05-01,1.1025396e-07,267.98425
62.25,300.0,2018-05-01,1.08746924e-07,268.46472
62.25,300.75,2018-05-01,1.0745271e-07,268.96863
62.25,301.5,2018-05-01,1.0692202e-07,269.39246
62.25,302.25,2018-05-01,1.065705e-07,269.7245
62.25,303.0,2018-05-01,1.0666145e-07,270.037
62.25,303.75,2018-05-01,1.069293e-07,270.35144
62.25,304.5,2018-05-01,1.075714e-07,270.6073
62.25,305.25,2018-05-01,1.08266256e-07,270.7987
62.25,306.0,2018-05-01,1.08979755e-07,271.04285
62.25,306.75,2018-05-01,1.095059e-07,271.47644
62.25,307.5,2018-05-01,1.0979921e-07,272.1405
62.25,308.25,2018-05-01,1.1060866e-07,272.912
62.25,309.0,2018-05-01,1.1154999e-07,273.3241
62.25,309.75,2018-05-01,1.152439e-07,272.49207
62.25,310.5,2018-05-01,1.1944212e-07,269.64832
62.25,311.25,2018-05-01,1.1995917e-07,265.0741
62.25,312.0,2018-05-01,1.1989232e-07,260.26746
62.25,312.75,2018-05-01,1.1899329e-07,256.71863
62.25,313.5,2018-05-01,1.1803696e-07,254.66003
62.25,314.25,2018-05-01,1.1717794e-07,253.48816
62.25,315.0,2018-05-01,1.1626799e-07,253.37097
62.25,315.75,2018-05-01,1.1556495e-07,255.60144
62.25,316.5,2018-05-01,1.1502471e-07,260.80457
62.25,317.25,2018-05-01,1.147605e-07,267.3026
62.25,318.0,2018-05-01,1.1473913e-07,272.15808
62.25,318.75,2018-05-01,1.1476596e-07,273.92175
62.25,319.5,2018-05-01,1.1484827e-07,273.73816
62.25,320.25,2018-05-01,1.14919665e-07,273.6034
62.25,321.0,2018-05-01,1.147796e-07,274.16394
62.25,321.75,2018-05-01,1.1478097e-07,274.67175
62.25,322.5,2018-05-01,1.1459088e-07,274.56433
62.25,323.25,2018-05-01,1.1458861e-07,274.26355
62.25,324.0,2018-05-01,1.1451858e-07,274.3905
62.25,324.75,2018-05-01,1.1465273e-07,274.88855
62.25,325.5,2018-05-01,1.1464818e-07,275.24597
62.25,326.25,2018-05-01,1.14749135e-07,275.2401
62.25,327.0,2018-05-01,1.1474004e-07,275.08777
62.25,327.75,2018-05-01,1.1478733e-07,275.0155
62.25,328.5,2018-05-01,1.1476687e-07,275.01746
62.25,329.25,2018-05-01,1.148942e-07,275.02527
62.25,330.0,2018-05-01,1.1499697e-07,275.06628
62.25,330.75,2018-05-01,1.15286646e-07,275.1659
62.25,331.5,2018-05-01,1.15575865e-07,275.27332
62.25,332.25,2018-05-01,1.15936025e-07,275.35144
62.25,333.0,2018-05-01,1.1615794e-07,275.4452
62.25,333.75,2018-05-01,1.164176e-07,275.59558
62.25,334.5,2018-05-01,1.1656585e-07,275.76746
62.25,335.25,2018-05-01,1.1666271e-07,275.90808
62.25,336.0,2018-05-01,1.1668545e-07,276.0448
62.25,336.75,2018-05-01,1.1677003e-07,276.2245
62.25,337.5,2018-05-01,1.1686962e-07,276.41003
62.25,338.25,2018-05-01,1.1720113e-07,276.51746
62.25,339.0,2018-05-01,1.17566294e-07,276.53308
62.25,339.75,2018-05-01,1.1789917e-07,276.5526
62.25,340.5,2018-05-01,1.18184296e-07,276.68738
62.25,341.25,2018-05-01,1.18224314e-07,276.96277
62.25,342.0,2018-05-01,1.18248416e-07,277.31824
62.25,342.75,2018-05-01,1.181993e-07,277.66785
62.25,343.5,2018-05-01,1.1803514e-07,277.96472
62.25,344.25,2018-05-01,1.1751491e-07,278.23816
62.25,345.0,2018-05-01,1.16494455e-07,278.58582
62.25,345.75,2018-05-01,1.15008795e-07,279.09363
62.25,346.5,2018-05-01,1.1433395e-07,279.73425
62.25,347.25,2018-05-01,1.1424209e-07,280.35144
62.25,348.0,2018-05-01,1.17620864e-07,280.78113
62.25,348.75,2018-05-01,1.2126111e-07,280.97058
62.25,349.5,2018-05-01,1.2337705e-07,280.96863
62.25,350.25,2018-05-01,1.2498231e-07,280.8319
62.25,351.0,2018-05-01,1.2521423e-07,280.58972
62.25,351.75,2018-05-01,1.248145e-07,280.2909
62.25,352.5,2018-05-01,1.2302644e-07,280.06238
62.25,353.25,2018-05-01,1.2112059e-07,280.0077
62.25,354.0,2018-05-01,1.19187014e-07,280.1073
62.25,354.75,2018-05-01,1.17637235e-07,280.1952
62.25,355.5,2018-05-01,1.16323925e-07,280.13074
62.25,356.25,2018-05-01,1.1575276e-07,279.92566
62.25,357.0,2018-05-01,1.1553221e-07,279.71277
62.25,357.75,2018-05-01,1.15125665e-07,279.6151
62.25,358.5,2018-05-01,1.14732764e-07,279.6366
62.25,359.25,2018-05-01,1.1413568e-07,279.73425
61.5,0.0,2018-05-01,1.1359089e-07,279.953
61.5,0.75,2018-05-01,1.1381099e-07,280.13074
